,bdi,bdi_lag1m,bdi_lag2m,bdi_ma3m,bdi_yoy
2001-01-01,162.5,159.8,158.5,160.26666666666668,0.1468
2001-02-01,164.2,162.5,159.8,162.16666666666666,0.1572
2001-03-01,162.8,164.2,162.5,163.16666666666666,0.1369
2001-04-01,158.6,162.8,164.2,161.86666666666667,0.0908
2001-05-01,171.1,158.6,162.8,164.16666666666666,0.066
2001-06-01,170.9,171.1,158.6,166.86666666666667,0.0589
2001-07-01,183.1,170.9,171.1,175.0333333333333,0.1261
2001-08-01,182.7,183.1,170.9,178.9,0.1093
2001-09-01,184.2,182.7,183.1,183.33333333333334,0.1116
2001-10-01,182.6,184.2,182.7,183.16666666666666,0.108
2001-11-01,172.5,182.6,184.2,179.76666666666665,0.0883
2001-12-01,171.7,172.5,182.6,175.6,0.0745
2002-01-01,170.9,171.7,172.5,171.69999999999996,0.0517
2002-02-01,170.6,170.9,171.7,171.06666666666663,0.039
2002-03-01,169.7,170.6,170.9,170.4,0.0424
2002-04-01,167.6,169.7,170.6,169.29999999999998,0.0567
2002-05-01,176.7,167.6,169.7,171.33333333333334,0.0327
2002-06-01,185.4,176.7,167.6,176.5666666666667,0.0848
2002-07-01,188.8,185.4,176.7,183.63333333333333,0.0311
2002-08-01,188.7,188.8,185.4,187.63333333333333,0.0328
2002-09-01,198.9,188.7,188.8,192.13333333333335,0.0798
2002-10-01,202.9,198.9,188.7,196.83333333333334,0.1112
2002-11-01,204.0,202.9,198.9,201.93333333333337,0.1826
2002-12-01,205.8,204.0,202.9,204.23333333333335,0.1986
2003-01-01,207.8,205.8,204.0,205.86666666666667,0.2159
2003-02-01,201.0,207.8,205.8,204.86666666666667,0.1782
2003-03-01,201.1,201.0,207.8,203.29999999999998,0.185
2003-04-01,199.8,201.1,201.0,200.63333333333335,0.1921
2003-05-01,223.6,199.8,201.1,208.16666666666666,0.2654
2003-06-01,223.7,223.6,199.8,215.70000000000002,0.2066
2003-07-01,233.5,223.7,223.6,226.9333333333333,0.2368
2003-08-01,233.6,233.5,223.7,230.26666666666665,0.2379
2003-09-01,233.6,233.6,233.5,233.5666666666667,0.1745
2003-10-01,233.7,233.6,233.6,233.63333333333333,0.1518
2003-11-01,223.9,233.7,233.6,230.4,0.0975
2003-12-01,223.8,223.9,233.7,227.13333333333333,0.0875
2004-01-01,220.5,223.8,223.9,222.73333333333335,0.0611
2004-02-01,220.6,220.5,223.8,221.63333333333333,0.0975
2004-03-01,222.1,220.6,220.5,221.0666666666667,0.1044
2004-04-01,223.9,222.1,220.6,222.20000000000002,0.1206
2004-05-01,224.3,223.9,222.1,223.4333333333333,0.0031
2004-06-01,224.0,224.3,223.9,224.0666666666667,0.0013
2004-07-01,226.8,224.0,224.3,225.03333333333333,-0.0287
2004-08-01,227.7,226.8,224.0,226.16666666666666,-0.0253
2004-09-01,229.8,227.7,226.8,228.1,-0.0163
2004-10-01,229.9,229.8,227.7,229.13333333333335,-0.0163
2004-11-01,230.7,229.9,229.8,230.13333333333333,0.0304
2004-12-01,230.7,230.7,229.9,230.4333333333333,0.0308
2005-01-01,230.9,230.7,230.7,230.76666666666665,0.0472
2005-02-01,230.6,230.9,230.7,230.73333333333335,0.0453
2005-03-01,232.0,230.6,230.9,231.16666666666666,0.0446
2005-04-01,233.3,232.0,230.6,231.9666666666667,0.042
2005-05-01,229.6,233.3,232.0,231.63333333333333,0.0236
2005-06-01,231.4,229.6,233.3,231.4333333333333,0.033
2005-07-01,232.2,231.4,229.6,231.0666666666667,0.0238
2005-08-01,232.6,232.2,231.4,232.06666666666663,0.0215
2005-09-01,232.9,232.6,232.2,232.5666666666667,0.0135
2005-10-01,233.0,232.9,232.6,232.83333333333334,0.0135
2005-11-01,233.1,233.0,232.9,233.0,0.0104
2005-12-01,231.3,233.1,233.0,232.46666666666667,0.0026
2006-01-01,231.3,231.3,233.1,231.9,0.0017
2006-02-01,231.4,231.3,231.3,231.33333333333334,0.0035
2006-03-01,235.1,231.4,231.3,232.60000000000002,0.0134
2006-04-01,234.5,235.1,231.4,233.66666666666666,0.0051
2006-05-01,235.9,234.5,235.1,235.16666666666666,0.0274
2006-06-01,233.7,235.9,234.5,234.69999999999996,0.0099
2006-07-01,233.1,233.7,235.9,234.23333333333332,0.0039
2006-08-01,233.1,233.1,233.7,233.29999999999998,0.0021
2006-09-01,233.1,233.1,233.1,233.1,0.0009
2006-10-01,233.5,233.1,233.1,233.23333333333332,0.0021
2006-11-01,232.8,233.5,233.1,233.13333333333333,-0.0013
2006-12-01,231.8,232.8,233.5,232.70000000000002,0.0022
2007-01-01,231.8,231.8,232.8,232.13333333333333,0.0022
2007-02-01,227.8,231.8,231.8,230.4666666666667,-0.0156
2007-03-01,228.0,227.8,231.8,229.20000000000002,-0.0302
2007-04-01,228.0,228.0,227.8,227.93333333333337,-0.0277
